,Mean_Forecast,Lower_CI,Upper_CI
2025-07-31,312.45743,286.44626,338.4686
2025-08-01,309.80066,280.8762,338.72513
2025-08-04,306.9552,284.2746,329.6358
2025-08-05,300.6323,273.30347,327.96112
2025-08-06,296.32883,271.15262,321.50504
2025-08-07,293.43286,265.59058,321.27515
2025-08-08,290.11304,268.00717,312.2189
2025-08-11,287.07156,264.6233,309.51984
2025-08-12,283.3323,261.65784,305.00677
2025-08-13,280.9808,259.6624,302.2992
2025-08-14,279.09793,257.062,301.13385
2025-08-15,276.26572,254.62025,297.9112
2025-08-18,271.86157,251.66298,292.06015
2025-08-19,271.70096,249.85619,293.54572
2025-08-20,268.87225,247.20184,290.54266
2025-08-21,265.4141,246.62541,284.20276
2025-08-22,265.50348,244.7392,286.26776
2025-08-25,262.6167,241.52182,283.71158
2025-08-26,260.59485,237.20717,283.9825
2025-08-27,257.9429,238.84462,277.0412
2025-08-28,257.3827,240.14026,274.62512
2025-08-29,256.56454,239.33266,273.79645
2025-09-01,254.76971,236.93407,272.60535
2025-09-02,253.70506,236.50877,270.90137
2025-09-03,250.3178,232.1868,268.4488
2025-09-04,247.7389,230.98965,264.48816
2025-09-05,246.66762,229.22205,264.1132
2025-09-08,245.30727,230.02277,260.59177
2025-09-09,243.0381,227.34158,258.73462
2025-09-10,242.5403,225.48999,259.5906
2025-09-11,240.8965,225.63144,256.16156
2025-09-12,238.37946,221.12569,255.63322
2025-09-15,239.3891,226.41728,252.36092
2025-09-16,238.0787,221.67636,254.48105
2025-09-17,235.351,218.40854,252.29346
2025-09-18,235.96567,220.32664,251.60469
2025-09-19,235.33705,220.40417,250.26993
2025-09-22,232.7602,218.27753,247.24286
2025-09-23,231.63254,216.73775,246.52733
2025-09-24,231.97603,218.35565,245.5964
2025-09-25,229.1102,216.59868,241.62172
2025-09-26,229.1585,215.41934,242.89764
2025-09-29,227.50836,214.26297,240.75375
2025-09-30,226.32135,212.9871,239.6556
2025-10-01,226.24196,211.52403,240.95988
2025-10-02,224.2805,210.33006,238.23094
2025-10-03,224.24849,209.5741,238.92288
2025-10-06,223.04408,209.14792,236.94025
2025-10-07,222.26073,209.37482,235.14664
2025-10-08,221.52812,208.34593,234.71031
2025-10-09,221.44977,208.51804,234.3815
2025-10-10,221.62366,209.67274,233.57457
2025-10-13,220.93457,207.63097,234.23817
2025-10-14,219.48422,207.21576,231.75269
2025-10-15,220.18756,208.22372,232.1514
2025-10-16,220.55959,207.54591,233.57326
2025-10-17,219.53099,207.86827,231.19371
2025-10-20,219.05904,208.12096,229.99712
2025-10-21,219.3061,207.42316,231.18906
2025-10-22,218.08194,204.81285,231.35103
2025-10-23,217.61082,204.3545,230.86714
2025-10-24,216.92694,204.59004,229.26384
2025-10-27,217.27448,204.9469,229.60205
2025-10-28,216.23167,202.87961,229.58374
2025-10-29,215.95862,204.47813,227.4391
2025-10-30,214.26767,201.36273,227.1726
2025-10-31,213.74052,200.69157,226.78947
2025-11-03,214.1879,202.77312,225.60268
2025-11-04,212.82057,202.19069,223.45045
2025-11-05,213.30717,203.27023,223.34412
2025-11-06,211.55757,200.31432,222.80083
2025-11-07,211.59523,200.41988,222.77058
2025-11-10,210.59561,199.11513,222.0761
2025-11-11,211.14555,199.70276,222.58835
2025-11-12,209.83127,198.74667,220.91586
2025-11-13,210.45717,199.98293,220.93141
2025-11-14,209.75037,198.8147,220.68604
2025-11-17,208.30362,198.62567,217.98157
2025-11-18,208.2265,197.5892,218.8638
2025-11-19,207.25795,196.05176,218.46414
2025-11-20,207.62529,197.35881,217.89177
2025-11-21,205.83807,196.02182,215.65433
2025-11-24,206.1728,195.58028,216.76534
2025-11-25,205.64551,194.60388,216.68713
2025-11-26,205.14957,194.13686,216.16228
2025-11-27,205.67857,195.39288,215.96426
2025-11-28,204.35066,193.29164,215.40968
2025-12-01,204.07936,193.41386,214.74486
2025-12-02,204.14426,193.35374,214.93477
2025-12-03,203.77934,195.0263,212.53238
2025-12-04,202.42592,191.61325,213.23859
2025-12-05,202.91106,192.66547,213.15665
2025-12-08,202.83467,193.32712,212.34222
2025-12-09,203.13838,192.92262,213.35414
2025-12-10,202.57916,192.62836,212.52997
2025-12-11,202.76906,193.77156,211.76656
2025-12-12,202.697,192.67375,212.72026
2025-12-15,203.0611,192.93007,213.19212
2025-12-16,202.56857,193.78445,211.35269
2025-12-17,201.89522,192.822,210.96843
2025-12-18,201.70744,191.13135,212.28354
2025-12-19,201.0002,189.78949,212.2109
2025-12-22,201.5934,192.02043,211.16637
2025-12-23,200.4583,190.04108,210.87552
2025-12-24,200.0328,190.85281,209.2128
2025-12-25,200.84975,191.80504,209.89445
2025-12-26,200.40254,190.97473,209.83035
2025-12-29,200.16182,191.36668,208.95695
2025-12-30,199.68016,190.04279,209.31754
2025-12-31,199.79794,191.07663,208.51926
2026-01-01,199.6067,189.96573,209.24768
2026-01-02,199.97351,190.45653,209.4905
2026-01-05,199.51971,190.54915,208.49028
2026-01-06,199.6515,188.81996,210.48305
2026-01-07,199.47871,189.76486,209.19257
2026-01-08,199.0835,190.08243,208.08456
2026-01-09,199.45746,189.8711,209.04382
2026-01-12,199.45927,189.82166,209.0969
2026-01-13,199.08961,189.44482,208.7344
2026-01-14,199.87952,189.95415,209.80489
2026-01-15,198.93439,189.5397,208.32907
2026-01-16,198.65659,190.16959,207.14359
2026-01-19,198.66956,189.48125,207.85786
2026-01-20,199.00533,189.09189,208.91876
2026-01-21,199.27803,189.36365,209.19241
2026-01-22,199.03642,188.52684,209.546
2026-01-23,199.23447,189.78717,208.68176
2026-01-26,199.04295,189.87706,208.20885
2026-01-27,198.91074,188.32841,209.49306
2026-01-28,198.44142,187.72707,209.15578
2026-01-29,198.32358,189.40485,207.24231
2026-01-30,198.40082,189.05289,207.74875
2026-02-02,198.35025,188.08943,208.61107
2026-02-03,197.65425,188.37039,206.93811
2026-02-04,197.20981,186.76993,207.64969
2026-02-05,197.61504,187.31886,207.91121
2026-02-06,197.83221,188.26805,207.39638
2026-02-09,197.75989,188.20602,207.31375
2026-02-10,197.10033,187.49707,206.70358
2026-02-11,197.14796,188.58688,205.70905
2026-02-12,196.9019,188.10571,205.69809
2026-02-13,197.1459,187.79782,206.49399
2026-02-16,197.10156,186.82776,207.37537
2026-02-17,197.38551,187.80357,206.96745
2026-02-18,197.04211,186.89316,207.19107
2026-02-19,197.46071,188.00972,206.9117
2026-02-20,197.24637,187.49529,206.99745
2026-02-23,196.87282,187.6176,206.12804
2026-02-24,196.88177,187.30765,206.4559
2026-02-25,196.26842,185.67671,206.86012
2026-02-26,196.68895,187.90358,205.47432
2026-02-27,196.74129,187.66629,205.81628
2026-03-02,196.62508,188.09822,205.15193
2026-03-03,196.18706,186.94725,205.42686
2026-03-04,197.14326,186.56717,207.71936
2026-03-05,196.25273,187.12338,205.38208
2026-03-06,196.86354,188.10022,205.62686
2026-03-09,195.94427,186.58783,205.30072
2026-03-10,196.2073,186.07925,206.33536
2026-03-11,195.97205,186.92532,205.01877
2026-03-12,195.58368,185.50542,205.66194
2026-03-13,195.34723,185.396,205.29846
2026-03-16,194.71136,184.09706,205.32567
2026-03-17,194.68164,185.51047,203.85281
2026-03-18,195.10248,185.79816,204.4068
2026-03-19,195.1236,187.05598,203.19121
2026-03-20,194.54219,184.99669,204.08769
2026-03-23,194.7813,186.08664,203.47595
2026-03-24,194.85277,185.3545,204.35103
2026-03-25,194.08134,184.53482,203.62787
2026-03-26,194.42622,185.8537,202.99875
2026-03-27,194.34268,185.2037,203.48166
2026-03-30,193.801,184.30452,203.29747
2026-03-31,193.66492,184.17653,203.1533
2026-04-01,193.67914,185.03323,202.32504
2026-04-02,192.69087,185.20042,200.18132
2026-04-03,193.35605,184.6851,202.027
2026-04-06,193.2664,185.28647,201.24634
2026-04-07,193.325,184.5419,202.1081
2026-04-08,192.37572,183.82487,200.92656
2026-04-09,193.69614,185.38873,202.00354
2026-04-10,192.97733,184.14665,201.808
2026-04-13,192.8196,184.08032,201.55887
2026-04-14,192.67104,184.36061,200.98146
2026-04-15,192.8983,184.60548,201.19112
2026-04-16,192.76659,183.04834,202.48483
2026-04-17,192.57294,185.25957,199.8863
2026-04-20,193.52518,184.08847,202.96188
2026-04-21,192.53246,183.3397,201.7252
2026-04-22,192.90184,184.4571,201.34657
2026-04-23,193.29068,184.58861,201.99275
2026-04-24,193.78214,186.44003,201.12424
2026-04-27,193.1141,183.80817,202.42004
2026-04-28,193.12709,183.92166,202.33252
2026-04-29,192.51547,183.02002,202.01093
2026-04-30,192.93193,183.83453,202.02933
2026-05-01,192.6312,183.47067,201.79172
2026-05-04,193.63739,184.99437,202.28041
2026-05-05,193.44757,184.9239,201.97124
2026-05-06,193.87003,185.86255,201.8775
2026-05-07,194.30644,185.83319,202.7797
2026-05-08,193.83047,184.61572,203.04523
2026-05-11,193.65407,185.71945,201.58868
2026-05-12,194.33105,185.64519,203.01692
2026-05-13,193.60315,185.12158,202.08472
2026-05-14,194.0538,185.21164,202.89597
2026-05-15,194.20872,184.80318,203.61427
2026-05-18,194.01933,184.0837,203.95497
2026-05-19,193.69879,184.57053,202.82706
2026-05-20,193.60172,185.21176,201.99167
2026-05-21,193.23712,183.97229,202.50195
2026-05-22,193.43779,183.91058,202.965
2026-05-25,192.8688,184.06342,201.6742
2026-05-26,193.36278,184.60262,202.12294
2026-05-27,192.79485,183.79274,201.79695
2026-05-28,192.82059,183.47104,202.17014
2026-05-29,192.38583,184.81654,199.95512
2026-06-01,192.06464,183.913,200.21628
2026-06-02,191.9211,183.55814,200.28406
2026-06-03,191.863,182.34657,201.37944
2026-06-04,191.43526,183.21465,199.65587
2026-06-05,191.74664,183.16304,200.33025
2026-06-08,191.60602,183.37262,199.83942
2026-06-09,191.18134,182.50935,199.85332
2026-06-10,192.34981,184.3707,200.32892
2026-06-11,191.6169,183.34718,199.88661
2026-06-12,191.95375,183.41498,200.49252
2026-06-15,192.02174,182.97404,201.06944
2026-06-16,191.85117,182.80539,200.89694
2026-06-17,193.20381,184.61374,201.79388
2026-06-18,192.2609,183.41858,201.10321
2026-06-19,192.58733,184.78603,200.38863
2026-06-22,193.28221,185.14606,201.41837
2026-06-23,193.51491,184.69366,202.33615
2026-06-24,193.29958,184.61266,201.9865
2026-06-25,192.40584,182.59172,202.21996
2026-06-26,192.78828,183.50735,202.06921
2026-06-29,192.57039,184.32895,200.81183
2026-06-30,192.2009,184.76266,199.63913
2026-07-01,192.56387,184.5429,200.58485
2026-07-02,191.38206,182.88017,199.88396
2026-07-03,192.30205,184.19547,200.40863
2026-07-06,191.21986,182.67339,199.76634
2026-07-07,191.55496,183.83911,199.27081
2026-07-08,191.63399,181.9692,201.29878
2026-07-09,191.31694,182.11536,200.51852
2026-07-10,190.80296,182.7181,198.88783
2026-07-13,191.51349,184.0127,199.01428
2026-07-14,191.68646,182.71739,200.65553
2026-07-15,190.90596,182.93344,198.87848
2026-07-16,191.35896,182.25494,200.46298
2026-07-17,191.16434,182.43114,199.89754
